board_index,board_name,width,height,total_mines,selections,opened_safe,opened_mines,cycles,cfg_cycles,load_cycles,solver_cycles,score_cycles,total_board_cycles,score_numerator,score_denominator,score_scaled,score,board_crc,jtag_retries,transport_error,protocol_version,build_id,solver_stalled
1,board_8x14_27_1_none,8,14,27,62,85,2,48689,0,0,48689,0,48689,2125,2295,9259,0.9259,2774,0,0,2,0001,0
2,board_11x19_31_35_none,11,19,31,63,178,0,13034,0,0,13034,0,13034,5518,5518,10000,1.0000,EEDC,0,0,2,0001,0
3,board_18x14_66_70_none,18,14,66,118,183,7,525116,0,0,525116,0,525116,10776,12276,8778,0.8778,7EE7,0,0,2,0001,1
4,board_19x6_21_151_none,19,6,21,33,93,2,38852,0,0,38852,0,38852,1767,1953,9047,0.9047,6C79,0,0,2,0001,0
5,board_18x5_18_177_none,18,5,18,47,72,1,72749,0,0,72749,0,72749,1224,1296,9444,0.9444,84B2,0,0,2,0001,0
6,board_17x6_25_200_none,17,6,25,65,77,2,83188,0,0,83188,0,83188,1771,1925,9200,0.9200,A7A6,0,0,2,0001,0
7,board_12x14_37_231_none,12,14,37,93,131,1,39048,0,0,39048,0,39048,4716,4847,9729,0.9729,FF21,0,0,2,0001,0
8,board_7x19_23_273_none,7,19,23,69,110,2,28764,0,0,28764,0,28764,2310,2530,9130,0.9130,D1B2,0,0,2,0001,0
9,board_4x16_19_299_none,4,16,19,35,45,3,56481,0,0,56481,0,56481,720,855,8421,0.8421,CE34,0,0,2,0001,0
10,board_4x6_3_321_none,4,6,3,12,21,0,2967,0,0,2967,0,2967,63,63,10000,1.0000,3E18,0,0,2,0001,0
11,board_7x4_6_325_none,7,4,6,8,22,1,4293,0,0,4293,0,4293,110,132,8333,0.8333,817A,0,0,2,0001,0
12,board_10x8_21_332_none,10,8,21,30,59,1,18605,0,0,18605,0,18605,1180,1239,9523,0.9523,74A6,0,0,2,0001,0
13,board_17x19_46_358_none,17,19,46,114,277,0,23840,0,0,23840,0,23840,12742,12742,10000,1.0000,AE07,0,0,2,0001,0
14,board_18x19_74_408_none,18,19,74,148,268,1,137205,0,0,137205,0,137205,19564,19832,9864,0.9864,ABBC,0,0,2,0001,0
15,board_19x12_49_496_none,19,12,49,92,179,2,74166,0,0,74166,0,74166,8413,8771,9591,0.9591,3AC1,0,0,2,0001,0
16,board_18x6_15_552_none,18,6,15,43,93,0,7735,0,0,7735,0,7735,1395,1395,10000,1.0000,FF30,0,0,2,0001,0
17,board_12x5_16_570_none,12,5,16,27,44,1,126090,0,0,126090,0,126090,660,704,9375,0.9375,3884,0,0,2,0001,0
18,board_11x6_18_590_none,11,6,18,41,48,2,54441,0,0,54441,0,54441,768,864,8888,0.8888,8E1A,0,0,2,0001,0
