"board_index","board_name","width","height","total_mines","selections","opened_safe","opened_mines","cycles","cfg_cycles","load_cycles","solver_cycles","score_cycles","total_board_cycles","score_numerator","score_denominator","score_scaled","score","solver_stalled"
"1","board_8x14_27_1_none","8","14","27","62","85","2","48689","3","112","48689","37","48843","2125","2295","9259","0.9259","0"
"2","board_11x19_31_35_none","11","19","31","63","178","0","13034","3","209","13034","37","13285","5518","5518","10000","1.0000","0"
"3","board_18x14_66_70_none","18","14","66","118","183","7","525116","3","252","525116","37","525410","10776","12276","8778","0.8778","1"
"4","board_19x6_21_151_none","19","6","21","33","93","2","38852","3","114","38852","37","39008","1767","1953","9047","0.9047","0"
"5","board_18x5_18_177_none","18","5","18","47","72","1","72749","3","90","72749","37","72881","1224","1296","9444","0.9444","0"
"6","board_17x6_25_200_none","17","6","25","65","77","2","83188","3","102","83188","37","83332","1771","1925","9200","0.9200","0"
"7","board_12x14_37_231_none","12","14","37","93","131","1","39048","3","168","39048","37","39258","4716","4847","9729","0.9729","0"
"8","board_7x19_23_273_none","7","19","23","69","110","2","28764","3","133","28764","37","28939","2310","2530","9130","0.9130","0"
"9","board_4x16_19_299_none","4","16","19","35","45","3","56481","3","64","56481","37","56587","720","855","8421","0.8421","0"
"10","board_4x6_3_321_none","4","6","3","12","21","0","2967","3","24","2967","37","3033","63","63","10000","1.0000","0"
"11","board_7x4_6_325_none","7","4","6","8","22","1","4293","3","28","4293","37","4363","110","132","8333","0.8333","0"
"12","board_10x8_21_332_none","10","8","21","30","59","1","18605","3","80","18605","37","18727","1180","1239","9523","0.9523","0"
"13","board_17x19_46_358_none","17","19","46","114","277","0","23840","3","323","23840","37","24205","12742","12742","10000","1.0000","0"
"14","board_18x19_74_408_none","18","19","74","148","268","1","137205","3","342","137205","37","137589","19564","19832","9864","0.9864","0"
"15","board_19x12_49_496_none","19","12","49","92","179","2","74166","3","228","74166","37","74436","8413","8771","9591","0.9591","0"
"16","board_18x6_15_552_none","18","6","15","43","93","0","7735","3","108","7735","37","7885","1395","1395","10000","1.0000","0"
"17","board_12x5_16_570_none","12","5","16","27","44","1","126090","3","60","126090","37","126192","660","704","9375","0.9375","0"
"18","board_11x6_18_590_none","11","6","18","41","48","2","54441","3","66","54441","37","54549","768","864","8888","0.8888","0"
"19","board_5x18_13_613_none","5","18","13","24","77","0","12801","3","90","12801","37","12933","1001","1001","10000","1.0000","0"
"20","board_4x14_14_628_none","4","14","14","25","42","1","61327","3","56","61327","37","61425","546","588","9285","0.9285","0"
"21","board_9x5_7_645_none","9","5","7","7","38","1","3235","3","45","3235","37","3322","228","266","8571","0.8571","0"
"22","board_16x8_27_654_none","16","8","27","64","101","0","22902","3","128","22902","37","23072","2727","2727","10000","1.0000","0"
"23","board_17x10_29_686_none","17","10","29","61","141","1","44737","3","170","44737","37","44949","3948","4089","9655","0.9655","0"
"24","board_19x18_59_719_none","19","18","59","139","283","1","128122","3","342","128122","37","128506","16414","16697","9830","0.9830","0"
"25","board_19x19_97_786_none","19","19","97","120","173","4","642849","3","361","642849","37","643252","15725","25608","6140","0.6140","1"
"26","board_19x19_92_895_none","19","19","92","141","246","3","695014","3","361","695014","37","695417","21825","24748","8818","0.8818","1"
"27","board_17x14_41_1003_none","17","14","41","89","197","3","54818","3","238","54818","37","55098","7486","8077","9268","0.9268","0"
"28","board_16x12_28_1051_none","16","12","28","38","164","0","11465","3","192","11465","37","11699","4592","4592","10000","1.0000","0"
"29","board_15x10_20_1082_none","15","10","20","57","130","3","34374","3","150","34374","37","34566","2210","2600","8500","0.8500","0"
"30","board_7x5_8_1103_none","7","5","8","18","27","2","6710","3","35","6710","37","6787","162","216","7500","0.7500","0"
"31","board_4x18_14_1113_none","4","18","14","32","58","2","23874","3","72","23874","37","23988","696","812","8571","0.8571","0"
